Name NL;Name FR;Name DE;X;Y;NIS
Rendeux;Rendeux;Rendeux;5,5096;50,2347;83044
Retie;Retie;Retie;5,0845;51,2679;13036
Riemst;Riemst;Riemst;5,5972;50,8123;73066
Rijkevorsel;Rijkevorsel;Rijkevorsel;4,7584;51,3503;13037
Rixensart;Rixensart;Rixensart;4,5214;50,7126;25091
Rochefort;Rochefort;Rochefort;5,2233;50,1592;91114
Roeselare;Roeselare;Roeselare;3,1248;50,9445;36015
Ronse;Renaix;Renaix;3,6011;50,7478;45041
Roosdaal;Roosdaal;Roosdaal;4,075;50,8432;23097
Rotselaar;Rotselaar;Rotselaar;4,7096;50,9519;24094
Rouvroy;Rouvroy;Rouvroy;5,4983;49,5539;85047
Ruiselede;Ruiselede;Ruiselede;3,3971;51,0411;37012
Rumes;Rumes;Rumes;3,3413;50,5492;57072
Rumst;Rumst;Rumst;4,4119;51,1014;11037
Sainte-Ode;Sainte-Ode;Sainte-Ode;5,5246;50,0359;82038
Saint-Georges-sur-Meuse;Saint-Georges-sur-Meuse;Saint-Georges-sur-Meuse;5,3564;50,6008;64065
Saint-Ghislain;Saint-Ghislain;Saint-Ghislain;3,8157;50,4722;53070
Saint-Hubert;Saint-Hubert;Saint-Hubert;5,3739;50,0251;84059
Saint-Léger;Saint-Léger;Saint-Léger;5,6548;49,6126;85034
Saint-Nicolas;Saint-Nicolas;Saint-Nicolas;5,5384;50,6319;62093
Saint-Vith;Saint-Vith;Sankt Vith;6,1257;50,2805;63067
Sambreville;Sambreville;Sambreville;4,6369;50,4469;92137
Schaarbeek;Schaerbeek;Schaerbeek;4,3738;50,8678;21015
Schelle;Schelle;Schelle;4,336;51,1267;11038
Scherpenheuvel-Zichem;Scherpenheuvel-Zichem;Scherpenheuvel-Zichem;4,9751;50,9795;24134
Schilde;Schilde;Schilde;4,5785;51,2417;11039
Schoten;Schoten;Schoten;4,498;51,2508;11040
Seneffe;Seneffe;Seneffe;4,2569;50,5296;55085
Seraing;Seraing;Seraing;5,5092;50,615;62096
Silly;Silly;Silly;3,9236;50,6482;51068
Sint-Agatha-Berchem;Berchem-Sainte-Agathe;Berchem-Sainte-Agathe;4,295;50,8652;21003
Sint-Genesius-Rode;Rhode-Saint-Genèse;Rhode-Saint-Genèse;4,3459;50,7454;23101
Sint-Gillis;Saint-Gilles;Saint-Gilles;4,3457;50,8244;21013
Sint-Gillis-Waas;Sint-Gillis-Waas;Sint-Gillis-Waas;4,1296;51,217;46020
Sint-Jans-Molenbeek;Molenbeek-Saint-Jean;Molenbeek-Saint-Jean;4,3387;50,8551;21012
Sint-Joost-ten-Node;Saint-Josse-ten-Noode;Saint-Josse-ten-Noode;4,3694;50,8508;21014
Sint-Katelijne-Waver;Sint-Katelijne-Waver;Sint-Katelijne-Waver;4,5358;51,0675;12035
Sint-Lambrechts-Woluwe;Woluwe-Saint-Lambert;Woluwe-Saint-Lambert;4,4259;50,8437;21018
Sint-Laureins;Sint-Laureins;Sint-Laureins;3,5242;51,2417;43014
Sint-Lievens-Houtem;Sint-Lievens-Houtem;Sint-Lievens-Houtem;3,8595;50,9204;41063
Sint-Martens-Latem;Sint-Martens-Latem;Sint-Martens-Latem;3,6397;51,0212;44064
Sint-Niklaas;Sint-Niklaas;Sint-Niklaas;4,1391;51,1648;46021
Sint-Pieters-Leeuw;Sint-Pieters-Leeuw;Sint-Pieters-Leeuw;4,2446;50,781;23077
Sint-Pieters-Woluwe;Woluwe-Saint-Pierre;Woluwe-Saint-Pierre;4,4269;50,8373;21019
Sint-Truiden;Sint-Truiden;Sint-Truiden;5,1814;50,8167;71053
Sivry-Rance;Sivry-Rance;Sivry-Rance;4,181;50,1676;56088
Soignies;Soignies;Soignies;4,0686;50,5794;55040
Sombreffe;Sombreffe;Sombreffe;4,5988;50,522;92114
Somme-Leuze;Somme-Leuze;Somme-Leuze;5,3399;50,2898;91120
Soumagne;Soumagne;Soumagne;5,7318;50,6331;62099
Spa;Spa;Spa;5,8667;50,4934;63072
Spiere-Helkijn;Espierres-Helchin;Espierres-Helchin;3,3602;50,7205;34043
Sprimont;Sprimont;Sprimont;5,6625;50,5056;62100
Stabroek;Stabroek;Stabroek;4,3693;51,3347;11044
Staden;Staden;Staden;3,0142;50,9745;36019
Stavelot;Stavelot;Stavelot;5,9304;50,3945;63073
Steenokkerzeel;Steenokkerzeel;Steenokkerzeel;4,5043;50,9205;23081
Stekene;Stekene;Stekene;4,0409;51,2058;46024
Stoumont;Stoumont;Stoumont;5,808;50,4076;63075
Tellin;Tellin;Tellin;5,2163;50,0816;84068
Temse;Temse;Temse;4,2139;51,1247;46025
Tenneville;Tenneville;Tenneville;5,5227;50,0922;83049
Ternat;Ternat;Ternat;4,1804;50,8705;23086
Tervuren;Tervuren;Tervuren;4,5121;50,8244;24104
Tessenderlo;Tessenderlo;Tessenderlo;5,0878;51,068;71057
Theux;Theux;Theux;5,8133;50,535;63076
Thimister-Clermont;Thimister-Clermont;Thimister-Clermont;5,8645;50,653;63089
Thuin;Thuin;Thuin;4,2888;50,3391;56078
Tielt;Tielt;Tielt;3,3274;51,0011;37015
Tielt-Winge;Tielt-Winge;Tielt-Winge;4,9096;50,9361;24135
Tienen;Tienen;Tienen;4,9378;50,807;24107
Tinlot;Tinlot;Tinlot;5,3782;50,4784;61081
Tintigny;Tintigny;Tintigny;5,5138;49,6832;85039
Tongeren;Tongeren;Tongeren;5,4642;50,7804;73083
Torhout;Torhout;Torhout;3,1017;51,0646;31033
Tournai;Tournai;Tournai;3,3868;50,603;57081
Tremelo;Tremelo;Tremelo;4,7046;50,9913;24109
Trois-Ponts;Trois-Ponts;Trois-Ponts;5,8726;50,3755;63086
Trooz;Trooz;Trooz;5,6754;50,577;62122
Tubize;Tubize;Tubize;4,2053;50,6934;25105
Turnhout;Turnhout;Turnhout;4,9471;51,3231;13040
Ukkel;Uccle;Uccle;4,3333;50,8035;21016
Vaux-sur-Sûre;Vaux-sur-Sûre;Vaux-sur-Sûre;5,5653;49,9103;82036
Verlaine;Verlaine;Verlaine;5,322;50,6051;61063
Verviers;Verviers;Verviers;5,8675;50,5931;63079
Veurne;Veurne;Veurne;2,6611;51,07;38025
Vielsalm;Vielsalm;Vielsalm;5,9169;50,2847;82032
Villers-la-Ville;Villers-la-Ville;Villers-la-Ville;4,5347;50,5725;25107
Villers-le-Bouillet;Villers-le-Bouillet;Villers-le-Bouillet;5,2637;50,5693;61068
Vilvoorde;Vilvoorde;Vilvoorde;4,4226;50,9284;23088
Viroinval;Viroinval;Viroinval;4,5495;50,0746;93090
Virton;Virton;Virton;5,5313;49,5668;85045
Visé;Visé;Visé;5,6935;50,735;62108
Vleteren;Vleteren;Vleteren;2,7383;50,9326;33041
Vloesberg;Flobecq;Flobecq;3,734;50,7384;51019
Voeren;Fourons;Fourons;5,7599;50,7597;73109
Vorselaar;Vorselaar;Vorselaar;4,7738;51,2017;13044
Vorst;Forest;Forest;4,3193;50,8113;21007
Vosselaar;Vosselaar;Vosselaar;4,8882;51,312;13046
Vresse-sur-Semois;Vresse-sur-Semois;Vresse-sur-Semois;4,9338;49,8726;91143
Waasmunster;Waasmunster;Waasmunster;4,0838;51,1093;42023
Wachtebeke;Wachtebeke;Wachtebeke;3,8582;51,1689;44073
Waimes;Waimes;Weismes;6,1096;50,4142;63080
Walcourt;Walcourt;Walcourt;4,4309;50,2512;93088
Walhain;Walhain;Walhain;4,6953;50,6181;25124
Wanze;Wanze;Wanze;5,2134;50,5374;61072
Waregem;Waregem;Waregem;3,4328;50,8851;34040
Waremme;Waremme;Waremme;5,2565;50,698;64074
Wasseiges;Wasseiges;Wasseiges;5,0011;50,6238;64075
Waterloo;Waterloo;Waterloo;4,3958;50,7153;25110
Watermaal-Bosvoorde;Watermael-Boitsfort;Watermael-Boitsfort;4,4171;50,7981;21017
Wavre;Wavre;Wavre;4,6082;50,716;25112
Welkenraedt;Welkenraedt;Welkenraedt;5,9743;50,6614;63084
Wellen;Wellen;Wellen;5,3348;50,841;73098
Wellin;Wellin;Wellin;5,1135;50,0821;84075
Wemmel;Wemmel;Wemmel;4,3034;50,9074;23102
Wervik;Wervik;Wervik;3,0436;50,7781;33029
Westerlo;Westerlo;Westerlo;4,9123;51,0904;13049
Wetteren;Wetteren;Wetteren;3,8856;51,0064;42025
Wevelgem;Wevelgem;Wevelgem;3,1815;50,8086;34041
Wezembeek-Oppem;Wezembeek-Oppem;Wezembeek-Oppem;4,486;50,8447;23103
Wichelen;Wichelen;Wichelen;3,9714;51,0095;42026
Wielsbeke;Wielsbeke;Wielsbeke;3,3732;50,9111;37017
Wijnegem;Wijnegem;Wijnegem;4,5237;51,2278;11050
Willebroek;Willebroek;Willebroek;4,3617;51,0636;12040
Wingene;Wingene;Wingene;3,2771;51,0579;37018
Wommelgem;Wommelgem;Wommelgem;4,5226;51,2035;11052
Wortegem-Petegem;Wortegem-Petegem;Wortegem-Petegem;3,5057;50,8544;45061
Wuustwezel;Wuustwezel;Wuustwezel;4,5992;51,3921;11053
Yvoir;Yvoir;Yvoir;4,8785;50,326;91141
Zandhoven;Zandhoven;Zandhoven;4,6599;51,2144;11054
Zaventem;Zaventem;Zaventem;4,4661;50,8873;23094
Zedelgem;Zedelgem;Zedelgem;3,1364;51,1427;31040
Zele;Zele;Zele;4,0371;51,069;42028
Zelzate;Zelzate;Zelzate;3,8093;51,2026;43018
Zemst;Zemst;Zemst;4,4646;50,9845;23096
Zoersel;Zoersel;Zoersel;4,6427;51,2708;11055
Zonhoven;Zonhoven;Zonhoven;5,3665;50,9916;71066
Zonnebeke;Zonnebeke;Zonnebeke;2,9877;50,8733;33037
Zottegem;Zottegem;Zottegem;3,8107;50,8698;41081
Zoutleeuw;Zoutleeuw;Zoutleeuw;5,1067;50,8332;24130
Zuienkerke;Zuienkerke;Zuienkerke;3,1546;51,2654;31042
Zulte;Zulte;Zulte;3,4662;50,9352;44081
Zutendaal;Zutendaal;Zutendaal;5,5721;50,9333;71067
Zwalm;Zwalm;Zwalm;3,7326;50,8778;45065
Zwevegem;Zwevegem;Zwevegem;3,3405;50,8131;34042
Zwijndrecht;Zwijndrecht;Zwijndrecht;4,3264;51,2188;11056
