Name NL;Name FR;Name DE;X;Y;NIS
Chimay;Chimay;Chimay;4,3152;50,0489;56016
Chiny;Chiny;Chiny;5,4109;49,6944;85007
Ciney;Ciney;Ciney;5,1014;50,2966;91030
Clavier;Clavier;Clavier;5,3638;50,4119;61012
Colfontaine;Colfontaine;Colfontaine;3,8434;50,4216;53082
Comblain-au-Pont;Comblain-au-Pont;Comblain-au-Pont;5,5756;50,4758;62026
Courcelles;Courcelles;Courcelles;4,3757;50,4578;52015
Court-Saint-Étienne;Court-Saint-Étienne;Court-Saint-Étienne;4,5685;50,6442;25023
Couvin;Couvin;Couvin;4,4908;50,0558;93014
Crisnée;Crisnée;Crisnée;5,3955;50,7147;64021
Dalhem;Dalhem;Dalhem;5,7305;50,7432;62027
Damme;Damme;Damme;3,2817;51,2517;31006
Daverdisse;Daverdisse;Daverdisse;5,0175;50,0014;84016
Deerlijk;Deerlijk;Deerlijk;3,3529;50,852;34009
De Haan;De Haan;De Haan;3,0299;51,2757;35029
Deinze;Deinze;Deinze;3,5263;50,9822;44083
Denderleeuw;Denderleeuw;Denderleeuw;4,0806;50,8832;41011
Dendermonde;Dendermonde;Dendermonde;4,0987;51,0311;42006
Dentergem;Dentergem;Dentergem;3,419;50,9643;37002
De Panne;De Panne;De Panne;2,5882;51,0967;38008
De Pinte;De Pinte;De Pinte;3,651;50,9927;44012
Dessel;Dessel;Dessel;5,1117;51,2392;13006
Destelbergen;Destelbergen;Destelbergen;3,7982;51,0556;44013
Diepenbeek;Diepenbeek;Diepenbeek;5,4202;50,9084;71011
Diest;Diest;Diest;5,05;50,9848;24020
Diksmuide;Diksmuide;Diksmuide;2,8646;51,0336;32003
Dilbeek;Dilbeek;Dilbeek;4,2635;50,8479;23016
Dilsen-Stokkem;Dilsen-Stokkem;Dilsen-Stokkem;5,7259;51,037;72041
Dinant;Dinant;Dinant;4,9129;50,2593;91034
Dison;Dison;Dison;5,8547;50,6085;63020
Doische;Doische;Doische;4,7453;50,1359;93018
Donceel;Donceel;Donceel;5,3233;50,6394;64023
Dour;Dour;Dour;3,78;50,3958;53020
